counterparty_text,legacy_partner_source_type,dependent_contract_rows,sample_legacy_contract_id,sample_contract_subject,design_action,idempotency_key,db_write_authorized
中国农业发展银行四川省分行,company,1,afdc9c75edfd4db8be702b1b5514dd20,中国农业发展银行什邡市支行雨、污管道改造项目,prepare_single_partner_anchor,company::中国农业发展银行四川省分行,no
中国建筑一局（集团）有限公司,company,2,138d7b699f5a4c1fb7c685a3db3e07db,绵阳高新医院（肺病医院）建设项目之办公室装饰装修分包合同,prepare_single_partner_anchor,company::中国建筑一局（集团）有限公司,no
中国建筑第八工程局有限公司,company,3,19b3382cc9aa4ea682c4faef2fa60631,西南大数据创新应用中心项目土石方补充协议,prepare_single_partner_anchor,company::中国建筑第八工程局有限公司,no
中国建筑第四工程局有限公司,company,20,06bd722ec5734e29af0595fcde193045,广清城际轨道交通项目（花都段）安置区工程（秀全街乐同安置区）一期施工总承包项目 【园林园建】工程专业分包,prepare_single_partner_anchor,company::中国建筑第四工程局有限公司,no
中国石油天然气第七建设有限公司,company,2,4072c73b39744718a8786199e3d53cf8,合同变更协议,prepare_single_partner_anchor,company::中国石油天然气第七建设有限公司,no
中国铁建大桥工程局集团有限公司,company,3,5016ff407edc491abe55517e49bec0ca,专业分包合同补充协议,prepare_single_partner_anchor,company::中国铁建大桥工程局集团有限公司,no
四川宝烨金属制品有限公司,company,1,4dd3cbf1f2d64bd287d9ee3ab6b79485,四川宝烨金属制品有限公司燃气报警系统安装,prepare_single_partner_anchor,company::四川宝烨金属制品有限公司,no
四川锦泰致远智能工程有限公司,company,1,6c1b289a464340ff97a11be1d4807bbe,四川美丰化工股份有限公司燃气报警系统工程安装合同,prepare_single_partner_anchor,company::四川锦泰致远智能工程有限公司,no
四川高竹工程建设有限公司,company,1,4d89ae3135154de6a568fcc1ba63e332,成渝双城经济圈川渝高竹新区制造产业园及配套基础设施建设项目(二期)-L4-E线道路及配套工程－路缘石,prepare_single_partner_anchor,company::四川高竹工程建设有限公司,no
德阳市旌阳区八角井镇卫生院,company,11,32837dc26c344e8cbf9b3a9346f8a3ec,德阳市八角井镇卫生院-新建附属用房,prepare_single_partner_anchor,company::德阳市旌阳区八角井镇卫生院,no
德阳泰诚硕商贸有限公司,company,1,c24d8dfe78db4cb0810cc65dcc08735a,合格土销售项目,prepare_single_partner_anchor,company::德阳泰诚硕商贸有限公司,no
绵竹市众力工程机械设备有限公司,company,11,2c63d820de7d43339d2e479dd70ce0d7,S419绵竹市遵道镇(太平村)至金花镇(金山村)段大修工程 劳务(沥青砼摊铺)施工补充合同(二),prepare_single_partner_anchor,company::绵竹市众力工程机械设备有限公司,no
