action_xmlid,ref_type,ref_name,ref_xmlid,ref_source,view_id,view_name,view_model,button_name_raw,button_type,groups_raw
,view_object_button,,project.edit_project,project.edit_project:form:action_view_tasks,831,project.project.form,project.project,action_view_tasks,object,
,view_object_button,,project.edit_project,project.edit_project:form:project_update_all_action,831,project.project.form,project.project,project_update_all_action,object,project.group_project_user
,view_object_button,预算,smart_construction_core.view_project_form_financial_buttons,smart_construction_core.view_project_form_financial_buttons:form:action_open_project_budgets,1317,project.project.form.financial.buttons,project.project,action_open_project_budgets,object,"smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_cost_manager"
,view_object_button,合同,smart_construction_core.view_project_form_financial_buttons,smart_construction_core.view_project_form_financial_buttons:form:action_open_project_contracts,1317,project.project.form.financial.buttons,project.project,action_open_project_contracts,object,"smart_construction_core.group_sc_cap_contract_user,smart_construction_core.group_sc_cap_contract_manager"
,view_object_button,任务,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_view_tasks,1296,project.project.form.sc.core,project.project,action_view_tasks,object,"base.group_system,smart_construction_core.group_sc_task_entry_access,smart_construction_core.group_sc_super_admin"
,view_object_button,,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:project_update_all_action,1296,project.project.form.sc.core,project.project,project_update_all_action,object,"base.group_system,smart_construction_core.group_sc_task_entry_access,smart_construction_core.group_sc_super_admin"
,view_object_button,工程结构,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_open_wbs,1296,project.project.form.sc.core,project.project,action_open_wbs,object,"smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_cost_manager"
,view_object_button,工程量清单,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_open_boq_import,1296,project.project.form.sc.core,project.project,action_open_boq_import,object,"smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_cost_manager"
,view_object_button,查看台账明细,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_open_cost_ledger,1296,project.project.form.sc.core,project.project,action_open_cost_ledger,object,"smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_cost_manager"
,view_object_button,查看进度明细,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_open_progress_entries,1296,project.project.form.sc.core,project.project,action_open_progress_entries,object,"smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_cost_manager"
,view_object_button,导入清单,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_open_boq_import,1296,project.project.form.sc.core,project.project,action_open_boq_import,object,"smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_cost_manager"
,view_object_button,生成工程结构,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_generate_wbs_from_boq,1296,project.project.form.sc.core,project.project,action_generate_wbs_from_boq,object,"smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_cost_manager"
,view_object_button,重建工程量清单层级,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_rebuild_boq_hierarchy,1296,project.project.form.sc.core,project.project,action_rebuild_boq_hierarchy,object,"smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_cost_manager"
,view_object_button,校验工程量清单,smart_construction_core.view_project_form_sc_core,smart_construction_core.view_project_form_sc_core:form:action_validate_boq,1296,project.project.form.sc.core,project.project,action_validate_boq,object,"smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_cost_manager"
,kanban_object,,project.view_project_kanban,project.view_project_kanban:kanban:action_view_tasks,841,project.project.kanban,project.project,action_view_tasks,object,
,kanban_object,,project.view_project_kanban,project.view_project_kanban:kanban:action_get_list_view,841,project.project.kanban,project.project,action_get_list_view,object,
,kanban_object,,project.view_project_kanban,project.view_project_kanban:kanban:action_view_tasks_analysis,841,project.project.kanban,project.project,action_view_tasks_analysis,object,
,kanban_object,,project.view_project_kanban,project.view_project_kanban:kanban:action_project_task_burndown_chart_report,841,project.project.kanban,project.project,action_project_task_burndown_chart_report,object,
,kanban_object,,project.view_project_kanban,project.view_project_kanban:kanban:action_view_tasks,841,project.project.kanban,project.project,action_view_tasks,object,
,kanban_object,,project.view_project_kanban,project.view_project_kanban:kanban:action_get_list_view,841,project.project.kanban,project.project,action_get_list_view,object,project.group_project_milestone
,view_object_button,View Tasks,project.view_project,project.view_project:tree:action_view_tasks,833,project.project.tree,project.project,action_view_tasks,object,
,view_object_button,Create project,project.project_project_view_form_simplified_footer,project.project_project_view_form_simplified_footer:form:action_view_tasks,840,project.project.view.form.simplified,project.project,action_view_tasks,object,
,kanban_object,,project.project_view_kanban_inherit_project,project.project_view_kanban_inherit_project:kanban:project_update_all_action,846,project.kanban.inherit.project,project.project,project_update_all_action,object,
